ID,HEAD_ID,RELATION_TAG,INFORMATION_STATUS_TAG,ANTECEDENT_ID,ANTECEDENT_HEAD_ID,ANTECEDENT_RELATION_TAG
101747,,,new,,,
101748,,,acc_gen,,,
101755,,,acc_gen,,,
101759,,,info_unannotatable,,,
101760,,,old,,,
101763,,,new,,,
101764,,,old,101760,,
101765,,,info_unannotatable,,,
101766,,,info_unannotatable,,,
101767,,,old,,,
101769,,,info_unannotatable,,,
101772,,,new,,,
101773,,,old,101767,,
101775,,,new,,,
101776,,,new,,,
101779,,,acc_gen,,,
101783,,,new,,,
101784,,,acc_gen,,,
101789,,,new,,,
101790,,,old,101784,,
101793,,,acc_gen,,,
101795,,,info_unannotatable,,,
101798,,,acc_inf,,,
101801,,,kind,,,
101802,,,info_unannotatable,,,
101804,,,non_spec,,,
101805,,,non_spec,,,
101809,,,info_unannotatable,,,
101810,,,old,101793,,
101811,,,info_unannotatable,,,
101814,,,acc_gen,,,
101815,,,info_unannotatable,,,
101817,,,quant,,,
101818,,,info_unannotatable,,,
101823,,,old,101810,,
101826,,,acc_gen,,,
101827,,,info_unannotatable,,,
101830,,,non_spec,,,
101831,,,non_spec_old,,101821,sub
101836,,,old,101823,,
101838,,,non_spec,,,
101839,,,info_unannotatable,,,
101840,,,info_unannotatable,,,
101841,,,new,,,
101845,,,new,,,
101846,,,old,101836,,
101850,,,non_spec,,,
101851,,,info_unannotatable,,,
101852,,,non_spec,,,
101861,,,new,,,
101862,,,old,,101856,sub
101864,,,old,101862,,
101866,,,info_unannotatable,,,
101871,,,info_unannotatable,,,
101873,,,non_spec,,,
101875,,,non_spec,,,
101876,,,old,101861,,
101878,,,old,,101868,sub
101880,,,old,101831,,
101881,,,non_spec,,,
101883,,,old,101876,,
101886,,,old,101880,,
101888,,,acc_gen,,,
101894,,,info_unannotatable,,,
101896,,,old,,,
101898,,,new,,,
101899,,,info_unannotatable,,,
101900,,,new,,,
101902,,,acc_gen,,,
101905,,,info_unannotatable,,,
101907,,,old,101826,,
101909,,,old,101878,,
101914,,,info_unannotatable,,,
101916,,,acc_inf,101907,,
101920,,,acc_gen,,,
101921,,,info_unannotatable,,,
101923,,,old,101888,,
101925,,,non_spec,,,
101927,,,info_unannotatable,,,
101928,,,old,,101917,sub
101931,,,new,,,
101932,,,info_unannotatable,,,
101934,,,old,101920,,
101936,,,old,101928,,
101939,,,new,,,
101940,,,old,,,
101942,,,info_unannotatable,,,
101944,,,info_unannotatable,,,
101945,,,old,101936,,
101951,,,old,101923,,
101952,,,old,101945,,
101954,,,info_unannotatable,,,
101956,,,old,101798,,
101962,,,old,101956,,
101964,,,info_unannotatable,,,
101968,,,acc_gen,,,
101974,,,acc_inf,101962,,
101978,,,kind,,,
101980,,,old,,101971,sub
101985,,,new,,,
101987,,,old,101909,,
101990,,,old,101980,,
101991,,,info_unannotatable,,,
101993,,,old,101902,,
101997,,,new,,,
101999,,,old,,101946,sub
102004,,,acc_gen,,,
102008,,,acc_gen,,,
102010,,,old,101999,,
102015,,,info_unannotatable,,,
102017,,,acc_gen,101997,,
102021,,,info_unannotatable,,,
102023,,,new,,,
102025,,,old,101993,,
102027,,,acc_gen,,,
102028,,,info_unannotatable,,,
102029,,,new,,,
102032,,,old,102027,,
102036,,,old,102023,,
102040,,,info_unannotatable,,,
102044,,,old,,102038,sub
102046,,,old,,102026,sub
102048,,,info_unannotatable,,,
102049,,,info_unannotatable,,,
102050,,,old,102046,,
102054,,,old,102044,,
102056,,,info_unannotatable,,,
102057,,,kind,,,
102063,,,acc_inf,102040,,
102065,,,old,,102053,sub
102071,,,new,,,
102074,,,info_unannotatable,,,
102075,,,info_unannotatable,,,
102076,,,new,,,
102078,,,info_unannotatable,,,
102079,,,old,102071,,
102082,,,old,102076,,
102085,,,acc_inf,102036,,
102088,,,acc_inf,102085,,
102093,,,old,102082,,
102098,,,old,102074,,
102099,,,old,102093,,
102100,,,info_unannotatable,,,
102103,,,old,102085,,
102106,,,acc_inf,102103,,
102109,,,old,,102092,sub
102113,,,info_unannotatable,,,
102114,,,acc_gen,,,
102119,,,old,,,
102123,,,acc_inf,102114,,
102127,,,info_unannotatable,,,
102129,,,old,102120,,
102130,,,old,,102120,sub
102135,,,old,,102126,sub
102136,,,info_unannotatable,,,
102137,,,info_unannotatable,,,
102138,,,non_spec,,,
102140,,,info_unannotatable,,,
102141,,,info_unannotatable,,,
102142,,,info_unannotatable,,,
102144,,,kind,,,
102151,,,old,102123,,
102152,,,old,102135,,
102153,,,new,,,
102155,,,new,,,
102162,,,non_spec,,,
102163,,,old,102152,,
102164,,,info_unannotatable,,,
102165,,,old,,102132,sub
102167,,,old,102165,,
102168,,,info_unannotatable,,,
102172,,,old,102163,,
102175,,,old,,102170,sub
102176,,,non_spec,,,
102180,,,new,,,
102182,,,acc_gen,,,
102186,,,old,,102174,sub
102188,,,old,,102177,sub
102193,,,info_unannotatable,,,
