ORIGINATOR_TYPE,ORIGINATOR_ID,NOTABLE_TYPE,NOTABLE_ID,CONTENTS
User,1,Sentence,6573,Bad sentence division
User,1,Sentence,6576,Bad sentence division
User,1,Sentence,6578,Bad sentence division
User,2,Sentence,6741,Bad sentence division
User,2,Sentence,6753,Bad sentence division
User,2,Sentence,6839,Bad sentence division
User,2,Sentence,6857,Bad sentence division
User,14,Sentence,6859,Bad sentence division
User,2,Sentence,6860,Bad sentence division
User,1,Sentence,6870,Bad sentence division
User,14,Sentence,6981,Bad sentence division
User,14,Sentence,6982,Bad sentence division
User,2,Sentence,7159,Bad sentence division
User,2,Sentence,7229,Bad sentence division
User,2,Sentence,7253,Bad sentence division
User,1,Sentence,7269,Bad sentence division
User,2,Sentence,7277,Bad sentence division
User,2,Sentence,7280,Bad sentence division
User,2,Sentence,7324,Bad sentence division
User,2,Sentence,7427,Bad sentence division
User,2,Sentence,10350,Bad sentence division
User,2,Sentence,10379,Bad sentence division
User,2,Sentence,10386,Bad sentence division
User,2,Sentence,10387,Bad sentence division
User,2,Sentence,10400,Bad sentence division
User,2,Sentence,10433,Bad sentence division
User,2,Sentence,10434,Bad sentence division
User,3,Sentence,10435,Bad sentence division
User,3,Sentence,10453,Bad sentence division
User,2,Sentence,10455,Bad sentence division
User,2,Sentence,10465,Bad sentence division
User,2,Sentence,10577,Bad sentence division
User,2,Sentence,10578,Bad sentence division
User,2,Sentence,10722,Bad sentence division
User,2,Sentence,10723,Bad sentence division
User,2,Sentence,10736,Bad sentence division
User,2,Sentence,10737,Bad sentence division
User,2,Sentence,10743,Bad sentence division
User,5,Sentence,10766,Bad sentence division
User,2,Sentence,10767,Bad sentence division
User,2,Sentence,10816,Bad sentence division
User,2,Sentence,10827,Bad sentence division
User,2,Sentence,10932,Bad sentence division
User,2,Sentence,10953,Bad sentence division
User,2,Sentence,10993,Bad sentence division
User,2,Sentence,10994,Bad sentence division
User,2,Sentence,11003,Bad sentence division
User,2,Sentence,11024,Bad sentence division
User,2,Sentence,11109,Bad sentence division
User,2,Sentence,11133,Bad sentence division
User,2,Sentence,11138,Bad sentence division
User,2,Sentence,11141,Bad sentence division
User,2,Sentence,11145,Bad sentence division
User,2,Sentence,11157,Bad sentence division
User,2,Sentence,11203,Bad sentence division
User,2,Sentence,11204,Bad sentence division
User,2,Sentence,11212,Bad sentence division
User,2,Sentence,11268,Bad sentence division
User,2,Sentence,11340,Bad sentence division
User,2,Sentence,11437,Bad sentence division
User,2,Sentence,11438,Bad sentence division
User,2,Sentence,11479,Bad sentence division
User,2,Sentence,11480,Bad sentence division
User,1,Sentence,12683,Bad sentence division
User,1,Sentence,12684,Bad sentence division
User,2,Sentence,12695,Bad sentence division
User,5,Sentence,12762,Bad sentence division
User,2,Sentence,12769,Bad sentence division
User,5,Sentence,12808,Bad sentence division
User,2,Sentence,12825,Bad sentence division
User,5,Sentence,12837,Bad sentence division
User,2,Sentence,12850,Bad sentence division
User,2,Sentence,12879,Bad sentence division
User,2,Sentence,12881,Bad sentence division
User,2,Sentence,12883,Bad sentence division
User,2,Sentence,12889,Bad sentence division
User,2,Sentence,12892,Bad sentence division
User,2,Sentence,12893,Bad sentence division
User,2,Sentence,12906,Bad sentence division
