SEMANTIC_RELATION_TYPE_TAG,SEMANTIC_RELATION_TAG,CONTROLLER_ID,TARGET_ID
discourse,EXPANSION_Elaboration_background,321404,321440
discourse,ATTRIBUTION_Content_verbal non-speech content,321415,321411
discourse,EXPANSION_Elaboration_explanation,321422,321404
discourse,TEMPORAL_Synchronous_overlap,321424,321422
discourse,TEMPORAL_Narration_same story,321430,321404
discourse,CONTINGENCY_Purpose_,321432,321430
discourse,EXPANSION_Restatement_specification,759519,321430
discourse,EXPANSION_Elaboration_characterization,321457,321440
discourse,CONTINGENCY_Cause_reason,321462,321440
discourse,CONTINGENCY_Purpose_,321470,321440
discourse,EXPANSION_Elaboration_characterization,321477,321470
discourse,TEMPORAL_Narration_same story,321480,321440
discourse,TEMPORAL_Synchronous_overlap,321484,321480
discourse,TEMPORAL_Narration_same story,321495,321480
discourse,TEMPORAL_Narration_same story,321503,321495
discourse,TEMPORAL_Narration_same story,321506,321503
discourse,CONTINGENCY_Cause_reason,321513,321506
discourse,EXPANSION_Elaboration_background,321522,321542
discourse,TEMPORAL_Synchronous_circumstance,321528,321522
discourse,TEMPORAL_Continuation_,321530,321528
discourse,TEMPORAL_Narration_new story,321542,321506
discourse,TEMPORAL_Narration_same story,321547,321542
discourse,TEMPORAL_Narration_same story,321551,321547
discourse,TEMPORAL_Narration_same story,321556,321551
discourse,ATTRIBUTION_Content_speech content,321562,321556
discourse,CONTINGENCY_Cause_,321566,321562
discourse,EXPANSION_Elaboration_characterization,321571,321566
discourse,ATTRIBUTION_Content_speech content,321577,321566
discourse,EXPANSION_Elaboration_characterization,321582,321577
discourse,TEMPORAL_Continuation_,563925,321577
discourse,EXPANSION_Restatement_specification,321595,563925
discourse,TEMPORAL_Narration_same story,321603,321556
discourse,TEMPORAL_Synchronous_circumstance,321610,321603
discourse,TEMPORAL_Continuation_,321614,321610
discourse,ATTRIBUTION_Content_speech content,563927,321614
discourse,COMPARISON_Juxtaposition_parallel,563928,563927
discourse,TEMPORAL_Narration_same story,321629,321603
discourse,TEMPORAL_Asynchronous_precedence,321631,321629
discourse,ATTRIBUTION_Content_speech content,321646,321642
discourse,TEMPORAL_Narration_same story,321651,321646
discourse,TEMPORAL_Narration_same story,321664,321629
discourse,TEMPORAL_Coincidence_manner,321665,321664
discourse,TEMPORAL_Narration_same story,321668,321664
discourse,ATTRIBUTION_Content_Non-verbal content,321678,321668
discourse,TEMPORAL_Asynchronous_precedence,321683,321685
discourse,TEMPORAL_Narration_same story,321685,321668
discourse,TEMPORAL_Narration_new story,321701,321685
discourse,TEMPORAL_Narration_same story,321715,321701
discourse,CONTINGENCY_Contrast_,321715,321701
discourse,TEMPORAL_Coincidence_manner,321719,321715
discourse,TEMPORAL_Narration_same story,321726,321668
discourse,TEMPORAL_Synchronous_circumstance,321730,321726
discourse,TEMPORAL_Continuation_,321732,321730
discourse,COMPARISON_Sameness_,321742,321730
discourse,TEMPORAL_Asynchronous_precedence,321748,321756
discourse,TEMPORAL_Narration_new story,321756,321726
discourse,TEMPORAL_Asynchronous_precedence,321777,321789
discourse,TEMPORAL_Narration_same story,321789,321756
discourse,CONTINGENCY_Purpose_,321793,321789
discourse,COMPARISON_Sameness_,321798,321793
discourse,ATTRIBUTION_Content_verbal non-speech content,321810,321798
discourse,TEMPORAL_Continuation_,321814,321793
discourse,ATTRIBUTION_Content_verbal non-speech content,1158290,321818
discourse,EXPANSION_Elaboration_background,321835,321884
discourse,EXPANSION_Elaboration_characterization,321850,321835
discourse,TEMPORAL_Continuation_,321857,321850
discourse,TEMPORAL_Continuation_,572378,321857
discourse,TEMPORAL_Continuation_,321863,321835
discourse,ATTRIBUTION_Content_,321873,321865
discourse,TEMPORAL_Asynchronous_precedence,321878,321873
discourse,TEMPORAL_Narration_same story,321884,321789
discourse,TEMPORAL_Synchronous_overlap,321895,321914
discourse,CONTINGENCY_Purpose_,321902,321895
discourse,TEMPORAL_Narration_same story,321914,321884
discourse,TEMPORAL_Narration_same story,321920,321914
discourse,TEMPORAL_Narration_same story,321924,321920
discourse,ATTRIBUTION_Content_speech content,733544,321924
discourse,ATTRIBUTION_Expressive_speech expressive,733548,321924
discourse,CONTINGENCY_Cause_pragmatic cause,733556,733544
discourse,TEMPORAL_Narration_same story,321969,321924
discourse,TEMPORAL_Narration_same story,321985,321969
discourse,TEMPORAL_Narration_same story,321989,321985
discourse,ATTRIBUTION_Content_speech content,321998,321989
discourse,TEMPORAL_Narration_same story,322018,321998
discourse,CONTINGENCY_Result_real result,322023,321998
discourse,EXPANSION_Elaboration_background,322030,322082
discourse,EXPANSION_Elaboration_characterization,322067,582021
discourse,TEMPORAL_Synchronous_circumstance,322073,322067
discourse,EXPANSION_Elaboration_characterization,582021,322030
discourse,TEMPORAL_Continuation_,582022,582021
discourse,TEMPORAL_Narration_same story,322082,321989
discourse,TEMPORAL_Narration_same story,322083,322082
discourse,TEMPORAL_Narration_same story,322087,322083
discourse,TEMPORAL_Asynchronous_precedence,322098,322105
discourse,TEMPORAL_Narration_same story,322105,322087
discourse,TEMPORAL_Narration_new story,322117,322105
discourse,TEMPORAL_Continuation_,322119,322117
discourse,TEMPORAL_Synchronous_circumstance,322120,322117
discourse,TEMPORAL_Continuation_,322126,322117
discourse,TEMPORAL_Asynchronous_background,322131,322167
discourse,TEMPORAL_Asynchronous_precedence,322146,322150
discourse,TEMPORAL_Narration_new story,322150,322117
discourse,TEMPORAL_Narration_same story,322159,322150
discourse,TEMPORAL_Synchronous_overlap,322165,322167
discourse,TEMPORAL_Narration_same story,322167,322159
discourse,TEMPORAL_Narration_same story,322176,322167
discourse,CONTIGENCY_Cause_reason,322181,322188
discourse,ATTRIBUTION_Content_Non-verbal content,322184,322181
discourse,TEMPORAL_Narration_same story,322188,322176
discourse,TEMPORAL_Narration_same story,322192,322188
discourse,TEMPORAL_Asynchronous_precedence,322203,322204
discourse,CONTIGENCY_Cause_reason,322203,322204
discourse,TEMPORAL_Narration_same story,322204,322192
discourse,TEMPORAL_Synchronous_circumstance,322207,322204
discourse,TEMPORAL_Narration_same story,322211,322204
discourse,ATTRIBUTION_Content_Non-verbal content,322220,322215
discourse,TEMPORAL_Continuation_,322226,322220
discourse,TEMPORAL_Continuation_,322229,322226
discourse,TEMPORAL_Narration_same story,322232,322211
discourse,TEMPORAL_Asynchronous_precedence,322247,322249
discourse,TEMPORAL_Narration_same story,322249,322232
discourse,TEMPORAL_Narration_same story,322252,322249
discourse,ATTRIBUTION_Expressive_speech expressive,322259,322252
discourse,ATTRIBUTION_Content_speech content,322262,322252
discourse,TEMPORAL_Coincidence_manner,322272,322273
discourse,CONTINGENCY_Cause_pragmatic cause,322273,322262
discourse,CONTINGENCY_Result_real result,322273,322262
discourse,TEMPORAL_Narration_same story,322277,322252
discourse,ATTRIBUTION_Content_speech content,582023,322277
discourse,CONTINGENCY_Cause_pragmatic cause,322287,582023
discourse,ATTRIBUTION_Content_Non-verbal content,322294,322287
discourse,TEMPORAL_Narration_same story,322301,322277
discourse,TEMPORAL_Narration_same story,322309,322301
discourse,TEMPORAL_Narration_same story,322313,322309
discourse,TEMPORAL_Narration_same story,322318,322313
discourse,TEMPORAL_Narration_same story,322326,322318
discourse,TEMPORAL_Narration_same story,322337,322326
discourse,TEMPORAL_Synchronous_overlap,322359,322395
discourse,TEMPORAL_Continuation_,322366,322359
discourse,TEMPORAL_Continuation_,322376,322366
discourse,TEMPORAL_Continuation_,322387,322376
discourse,TEMPORAL_Narration_same story,322408,322395
discourse,TEMPORAL_Synchronous_circumstance,322415,322408
discourse,COMPARISON_Sameness_,322423,322415
discourse,ATTRIBUTION_Content_verbal non-speech content,361145,322423
discourse,ATTRIBUTION_Content_speech content,733579,361145
discourse,EXPANSION_Restatement_specification,733584,733579
discourse,CONTINGENCY_Cause_,322450,733579
discourse,TEMPORAL_Continuation_,322456,322450
discourse,TEMPORAL_Continuation_,322459,322456
discourse,CONTINGENCY_Result_real result,322472,322450
discourse,TEMPORAL_Narration_same story,322480,322408
discourse,ATTRIBUTION_Expressive_speech expressive,322489,322480
discourse,ATTRIBUTION_Content_speech content,322493,322480
discourse,TEMPORAL_Continuation_,322501,322493
discourse,TEMPORAL_Continuation_,322510,322501
discourse,ATTRIBUTION_Content_speech content,322516,322511
discourse,CONTINGENCY_Cause_,322520,322510
discourse,ATTRIBUTION_Content_speech content,322524,322520
discourse,CONTINGENCY_Cause_,322546,322501
discourse,CONTINGENCY_Result_real result,322555,322546
discourse,CONTINGENCY_Purpose_,322555,322546
discourse,TEMPORAL_Narration_same story,322559,322555
discourse,TEMPORAL_Narration_same story,322562,322480
discourse,TEMPORAL_Coincidence_means,322566,322562
discourse,ATTRIBUTION_Content_speech content,322570,322566
discourse,TEMPORAL_Narration_same story,322572,322562
discourse,TEMPORAL_Continuation_,322574,322572
discourse,ATTRIBUTION_Content_speech content,322581,322574
discourse,COMPARISON_Juxtaposition_parallel,322591,322581
discourse,TEMPORAL_Narration_same story,322593,322574
discourse,CONTINGENCY_Purpose_,322597,322593
discourse,TEMPORAL_Narration_same story,322599,322593
discourse,ATTRIBUTION_Expressive_speech expressive,322603,322599
discourse,ATTRIBUTION_Content_speech content,322606,322599
discourse,TEMPORAL_Narration_same story,322610,322599
discourse,ATTRIBUTION_Content_speech content,322620,322610
discourse,TEMPORAL_Narration_same story,322622,322610
discourse,TEMPORAL_Coincidence_means,322627,322622
discourse,ATTRIBUTION_Content_speech content,322630,322627
discourse,TEMPORAL_Narration_same story,322635,322622
discourse,ATTRIBUTION_Content_speech content,322640,322635
discourse,TEMPORAL_Continuation_,322643,322640
discourse,EXPANSION_Alternative_chosen alternative,322646,322640
discourse,CONTINGENCY_Cause_reason,322651,322656
discourse,CONTINGENCY_Cause_reason,322656,322672
discourse,TEMPORAL_Synchronous_overlap,322656,322672
discourse,ATTRIBUTION_Content_Non-verbal content,322668,322656
discourse,TEMPORAL_Narration_same story,322672,322635
discourse,TEMPORAL_Coincidence_means,322673,322672
discourse,ATTRIBUTION_Content_speech content,322681,322673
discourse,EXPANSION_Elaboration_background,322684,322703
discourse,EXPANSION_Elaboration_characterization,322692,322684
discourse,COMPARISON_Juxtaposition_contrast,322703,322681
discourse,CONTINGENCY_Purpose_,322717,398647
discourse,TEMPORAL_Narration_same story,322722,322717
discourse,EXPANSION_Elaboration_characterization,398647,322703
discourse,COMPARISON_Juxtaposition_contrast,322733,322722
discourse,TEMPORAL_Coincidence_means,322742,322743
discourse,TEMPORAL_Narration_same story,322743,322672
discourse,CONTINGENCY_Cause_reason,322753,322772
discourse,TEMPORAL_Narration_same story,322772,322743
discourse,EXPANSION_Restatement_specification,322778,322772
discourse,TEMPORAL_Narration_new story,733624,322772
discourse,TEMPORAL_Asynchronous_precedence,733628,733624
discourse,TEMPORAL_Asynchronous_precedence,733634,733624
discourse,TEMPORAL_Synchronous_overlap,733636,733624
discourse,TEMPORAL_Narration_same story,733641,733624
discourse,TEMPORAL_Narration_same story,733656,733641
discourse,ATTRIBUTION_Content_speech content,733658,733656
discourse,TEMPORAL_Continuation_,733666,733658
discourse,EXPANSION_Elaboration_summary,322834,733656
discourse,TEMPORAL_Synchronous_overlap,322836,322834
discourse,TEMPORAL_Continuation_,322841,322834
discourse,ATTRIBUTION_Information source_non-verbal,322845,322841
discourse,TEMPORAL_Narration_same story,323012,323006
discourse,TEMPORAL_Synchronous_circumstance,323021,323012
discourse,TEMPORAL_Continuation_,323028,323012
discourse,TEMPORAL_Asynchronous_precedence,323036,323038
discourse,CONTINGENCY_Result_real result,323038,323028
discourse,TEMPORAL_Narration_same story,323040,323038
discourse,CONTINGENCY_Condition_factual present,323048,323052
discourse,ATTRIBUTION_Content_speech content,323052,323040
discourse,ATTRIBUTION_Content_speech content,323057,323052
discourse,TEMPORAL_Narration_same story,323061,323040
discourse,ATTRIBUTION_Content_speech content,323067,323061
discourse,ATTRIBUTION_Content_verbal non-speech content,323073,323067
discourse,TEMPORAL_Narration_same story,323078,323061
discourse,TEMPORAL_Narration_same story,323080,323078
discourse,TEMPORAL_Narration_same story,323092,323080
discourse,ATTRIBUTION_Content_speech content,323098,323092
discourse,CONTINGENCY_Cause_pragmatic cause,323110,323098
discourse,TEMPORAL_Continuation_,323115,323110
discourse,CONTINGENCY_Condition_hypothetical,323121,323125
discourse,CONTINGENCY_Result_real result,323125,323098
discourse,TEMPORAL_Narration_same story,323130,323092
discourse,TEMPORAL_Continuation_,323133,323130
discourse,ATTRIBUTION_Content_speech content,323136,323133
discourse,ATTRIBUTION_Content_verbal non-speech content,323138,323136
discourse,TEMPORAL_Continuation_,323146,323138
discourse,TEMPORAL_Narration_same story,323148,323133
discourse,TEMPORAL_Narration_same story,323154,323148
