TAGGABLE_TYPE,TAGGABLE_ID,ATTRIBUTE_TAG,VALUE_TAG
Lemma,4517,AKTIONSART,state
Lemma,448,AKTIONSART,telic
Lemma,183,AKTIONSART,state
Lemma,3512,AKTIONSART,telic
Lemma,185,AKTIONSART,telic
Lemma,2611,AKTIONSART,telic
Lemma,3959,AKTIONSART,activity
Lemma,4773,AKTIONSART,semelfactive
Lemma,635,AKTIONSART,telic
Lemma,2401,AKTIONSART,telic
Lemma,3709,AKTIONSART,telic
Lemma,555,AKTIONSART,telic
Lemma,2365,AKTIONSART,telic
Lemma,1337,AKTIONSART,telic
Lemma,1913,AKTIONSART,telic
Lemma,2369,AKTIONSART,telic
Lemma,97,AKTIONSART,telic
Lemma,1651,AKTIONSART,telic
Lemma,475,AKTIONSART,telic
Lemma,4782,AKTIONSART,activity
Lemma,1030,AKTIONSART,telic
Lemma,137,AKTIONSART,telic
Lemma,4105,AKTIONSART,activity
Lemma,742,AKTIONSART,state
Lemma,3920,AKTIONSART,telic
Lemma,153,AKTIONSART,telic
Lemma,120,AKTIONSART,telic
Lemma,4702,AKTIONSART,telic
Lemma,616,AKTIONSART,telic
Lemma,498,AKTIONSART,telic
Lemma,4151,AKTIONSART,activity
Lemma,3037,AKTIONSART,telic
Lemma,2806,AKTIONSART,telic
Lemma,343,AKTIONSART,activity
Lemma,37,AKTIONSART,telic
Lemma,1933,AKTIONSART,telic
Lemma,201,AKTIONSART,state
Lemma,14,AKTIONSART,state
Lemma,829,AKTIONSART,telic
Lemma,2351,AKTIONSART,telic
Lemma,2209,AKTIONSART,telic
Lemma,2622,AKTIONSART,telic
Lemma,2411,AKTIONSART,telic
Lemma,3964,AKTIONSART,telic
Lemma,3083,AKTIONSART,telic
Lemma,4011,AKTIONSART,activity
Lemma,4542,AKTIONSART,activity
Lemma,4787,AKTIONSART,semelfactive
Lemma,396,AKTIONSART,telic
Lemma,2970,AKTIONSART,telic
Lemma,3522,AKTIONSART,telic
Lemma,514,AKTIONSART,telic
Lemma,790,AKTIONSART,state
Lemma,1600,AKTIONSART,telic
Lemma,1167,AKTIONSART,telic
Lemma,1565,AKTIONSART,telic
Lemma,158,AKTIONSART,telic
Lemma,186,AKTIONSART,telic
Lemma,322,AKTIONSART,telic
Lemma,32,AKTIONSART,activity
Lemma,205,AKTIONSART,state
Lemma,520,AKTIONSART,telic
Lemma,1813,AKTIONSART,telic
Lemma,975,AKTIONSART,telic
Lemma,1382,AKTIONSART,activity
Lemma,839,AKTIONSART,state
Lemma,413,AKTIONSART,telic
Lemma,58,AKTIONSART,telic
Lemma,1371,AKTIONSART,telic
Lemma,4728,AKTIONSART,telic
Lemma,1345,AKTIONSART,telic
Lemma,129,AKTIONSART,activity
Lemma,2921,AKTIONSART,telic
Lemma,2555,AKTIONSART,activity
Lemma,2064,AKTIONSART,telic
Lemma,3980,AKTIONSART,telic
Lemma,193,AKTIONSART,telic
Lemma,65,AKTIONSART,telic
Lemma,1064,AKTIONSART,telic
Lemma,500,AKTIONSART,telic
Lemma,95,AKTIONSART,state
Lemma,508,AKTIONSART,telic
Lemma,364,AKTIONSART,telic
Lemma,4735,AKTIONSART,state
Lemma,708,AKTIONSART,telic
Lemma,4709,AKTIONSART,telic
Lemma,462,AKTIONSART,activity
Lemma,2709,AKTIONSART,telic
Lemma,4315,AKTIONSART,telic
Lemma,218,AKTIONSART,activity
Lemma,749,AKTIONSART,telic
Lemma,637,AKTIONSART,telic
Lemma,4060,AKTIONSART,telic
Lemma,667,AKTIONSART,telic
Lemma,4138,AKTIONSART,telic
Lemma,1791,AKTIONSART,telic
Lemma,1114,AKTIONSART,telic
Lemma,678,AKTIONSART,activity
Lemma,2332,AKTIONSART,telic
Lemma,2891,AKTIONSART,telic
Lemma,2591,AKTIONSART,telic
Lemma,3986,AKTIONSART,semelfactive
Lemma,4698,AKTIONSART,state
Lemma,4405,AKTIONSART,activity
Lemma,2879,AKTIONSART,telic
